,question,answer
1.4213783961260378e-76,What campaigns used attack technique 'T1562.001: Disable or Modify Tools'?,"The campaigns that used attack technique 'T1562.001: Disable or Modify Tools' were: 'C0002: Night Dragon', 'C0024: SolarWinds Compromise', 'C0028: 2015 Ukraine Electric Power Attack', 'C0029: Cutting Edge'"
2.917959929165608e-14,What campaigns used attack technique 'T1136.002: Domain Account'?,"The campaigns that used attack technique 'T1136.002: Domain Account' were: 'C0025: 2016 Ukraine Electric Power Attack', 'C0028: 2015 Ukraine Electric Power Attack'"
1.6141055864059473e+132,What campaigns used attack technique 'T1133: External Remote Services'?,"The campaigns that used attack technique 'T1133: External Remote Services' were: 'C0002: Night Dragon', 'C0004: CostaRicto', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0024: SolarWinds Compromise', 'C0027: C0027', 'C0028: 2015 Ukraine Electric Power Attack', 'C0032: C0032'"
2.001464072386347e-23,What campaigns used attack technique 'T1070.004: File Deletion'?,"The campaigns that used attack technique 'T1070.004: File Deletion' were: 'C0006: Operation Honeybee', 'C0014: Operation Wocao', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise', 'C0028: 2015 Ukraine Electric Power Attack', 'C0029: Cutting Edge', 'C0032: C0032'"
5.037345738532019e+180,What campaigns used attack technique 'T1105: Ingress Tool Transfer'?,"The campaigns that used attack technique 'T1105: Ingress Tool Transfer' were: 'C0001: Frankenstein', 'C0002: Night Dragon', 'C0004: CostaRicto', 'C0006: Operation Honeybee', 'C0007: FunnyDream', 'C0010: C0010', 'C0013: Operation Sharpshooter', 'C0014: Operation Wocao', 'C0015: C0015', 'C0017: C0017', 'C0018: C0018', 'C0021: C0021', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise', 'C0026: C0026', 'C0027: C0027', 'C0028: 2015 Ukraine Electric Power Attack', 'C0029: Cutting Edge'"
2.6626301756391224e-61,What campaigns used attack technique 'T1056.001: Keylogging'?,"The campaigns that used attack technique 'T1056.001: Keylogging' were: 'C0014: Operation Wocao', 'C0028: 2015 Ukraine Electric Power Attack', 'C0029: Cutting Edge'"
4.0735986317770256e+223,What campaigns used attack technique 'T1570: Lateral Tool Transfer'?,"The campaigns that used attack technique 'T1570: Lateral Tool Transfer' were: 'C0014: Operation Wocao', 'C0015: C0015', 'C0018: C0018', 'C0025: 2016 Ukraine Electric Power Attack', 'C0028: 2015 Ukraine Electric Power Attack', 'C0034: 2022 Ukraine Electric Power Attack'"
1.9085944863816036e+185,What campaigns used attack technique 'T1204.002: Malicious File'?,"The campaigns that used attack technique 'T1204.002: Malicious File' were: 'C0001: Frankenstein', 'C0005: Operation Spalax', 'C0006: Operation Honeybee', 'C0011: C0011', 'C0013: Operation Sharpshooter', 'C0015: C0015', 'C0016: Operation Dust Storm', 'C0022: Operation Dream Job', 'C0028: 2015 Ukraine Electric Power Attack'"
2.111556066737399e+257,What campaigns used attack technique 'T1112: Modify Registry'?,"The campaigns that used attack technique 'T1112: Modify Registry' were: 'C0002: Night Dragon', 'C0006: Operation Honeybee', 'C0014: Operation Wocao', 'C0028: 2015 Ukraine Electric Power Attack'"
1.0590390538760082e+218,What campaigns used attack technique 'T1040: Network Sniffing'?,The campaigns that used attack technique 'T1040: Network Sniffing' were: 'C0028: 2015 Ukraine Electric Power Attack'
6.331050439418027e+180,What campaigns used attack technique 'T1055: Process Injection'?,"The campaigns that used attack technique 'T1055: Process Injection' were: 'C0013: Operation Sharpshooter', 'C0014: Operation Wocao', 'C0028: 2015 Ukraine Electric Power Attack', 'C0029: Cutting Edge'"
9.898036149425746e+164,What campaigns used attack technique 'T1018: Remote System Discovery'?,"The campaigns that used attack technique 'T1018: Remote System Discovery' were: 'C0007: FunnyDream', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0015: C0015', 'C0024: SolarWinds Compromise', 'C0025: 2016 Ukraine Electric Power Attack', 'C0028: 2015 Ukraine Electric Power Attack'"
2.060653455122836e-115,What campaigns used attack technique 'T1218.011: Rundll32'?,"The campaigns that used attack technique 'T1218.011: Rundll32' were: 'C0005: Operation Spalax', 'C0015: C0015', 'C0018: C0018', 'C0021: C0021', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise', 'C0028: 2015 Ukraine Electric Power Attack'"
2.6626301756391224e-61,What campaigns used attack technique 'T1566.001: Spearphishing Attachment'?,"The campaigns that used attack technique 'T1566.001: Spearphishing Attachment' were: 'C0001: Frankenstein', 'C0005: Operation Spalax', 'C0011: C0011', 'C0015: C0015', 'C0016: Operation Dust Storm', 'C0022: Operation Dream Job', 'C0028: 2015 Ukraine Electric Power Attack'"
2.1136798372709053e+257,What campaigns used attack technique 'T1078: Valid Accounts'?,"The campaigns that used attack technique 'T1078: Valid Accounts' were: 'C0002: Night Dragon', 'C0014: Operation Wocao', 'C0024: SolarWinds Compromise', 'C0028: 2015 Ukraine Electric Power Attack', 'C0032: C0032'"
1.3899781896621274e+218,What campaigns used attack technique 'T1059.005: Visual Basic'?,"The campaigns that used attack technique 'T1059.005: Visual Basic' were: 'C0001: Frankenstein', 'C0006: Operation Honeybee', 'C0007: FunnyDream', 'C0011: C0011', 'C0012: Operation CuckooBees', 'C0013: Operation Sharpshooter', 'C0014: Operation Wocao', 'C0015: C0015', 'C0016: Operation Dust Storm', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise', 'C0025: 2016 Ukraine Electric Power Attack', 'C0028: 2015 Ukraine Electric Power Attack'"
9.898036149421935e+164,What campaigns used attack technique 'T1071.001: Web Protocols'?,"The campaigns that used attack technique 'T1071.001: Web Protocols' were: 'C0001: Frankenstein', 'C0002: Night Dragon', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0017: C0017', 'C0018: C0018', 'C0021: C0021', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise', 'C0028: 2015 Ukraine Electric Power Attack'"
1.572067556554068e-118,What campaigns used attack technique 'T1098: Account Manipulation'?,The campaigns that used attack technique 'T1098: Account Manipulation' were: 'C0025: 2016 Ukraine Electric Power Attack'
2.6626301756391224e-61,What campaigns used attack technique 'T1110: Brute Force'?,"The campaigns that used attack technique 'T1110: Brute Force' were: 'C0022: Operation Dream Job', 'C0025: 2016 Ukraine Electric Power Attack'"
6.127434859858505e-154,What campaigns used attack technique 'T1554: Compromise Host Software Binary'?,"The campaigns that used attack technique 'T1554: Compromise Host Software Binary' were: 'C0025: 2016 Ukraine Electric Power Attack', 'C0029: Cutting Edge'"
1.9745488607758842e-153,What campaigns used attack technique 'T1136: Create Account'?,The campaigns that used attack technique 'T1136: Create Account' were: 'C0025: 2016 Ukraine Electric Power Attack'
2.6626301756391224e-61,What campaigns used attack technique 'T1562.002: Disable Windows Event Logging'?,"The campaigns that used attack technique 'T1562.002: Disable Windows Event Logging' were: 'C0024: SolarWinds Compromise', 'C0025: 2016 Ukraine Electric Power Attack'"
1.6966408513366928e-152,What campaigns used attack technique 'T1003.001: LSASS Memory'?,"The campaigns that used attack technique 'T1003.001: LSASS Memory' were: 'C0014: Operation Wocao', 'C0025: 2016 Ukraine Electric Power Attack', 'C0029: Cutting Edge', 'C0030: Triton Safety Instrumented System Attack', 'C0032: C0032'"
1.4299573423690313e+228,What campaigns used attack technique 'T1036.008: Masquerade File Type'?,"The campaigns that used attack technique 'T1036.008: Masquerade File Type' were: 'C0022: Operation Dream Job', 'C0025: 2016 Ukraine Electric Power Attack'"
1.2654803863640217e-118,What campaigns used attack technique 'T1036.005: Match Legitimate Name or Location'?,"The campaigns that used attack technique 'T1036.005: Match Legitimate Name or Location' were: 'C0006: Operation Honeybee', 'C0012: Operation CuckooBees', 'C0013: Operation Sharpshooter', 'C0014: Operation Wocao', 'C0017: C0017', 'C0018: C0018', 'C0024: SolarWinds Compromise', 'C0025: 2016 Ukraine Electric Power Attack', 'C0030: Triton Safety Instrumented System Attack', 'C0032: C0032'"
2.6626301756391224e-61,What campaigns used attack technique 'T1027: Obfuscated Files or Information'?,"The campaigns that used attack technique 'T1027: Obfuscated Files or Information' were: 'C0015: C0015', 'C0017: C0017', 'C0025: 2016 Ukraine Electric Power Attack'"
5.730002187362676e+228,What campaigns used attack technique 'T1059.001: PowerShell'?,"The campaigns that used attack technique 'T1059.001: PowerShell' were: 'C0001: Frankenstein', 'C0014: Operation Wocao', 'C0018: C0018', 'C0021: C0021', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise', 'C0025: 2016 Ukraine Electric Power Attack', 'C0030: Triton Safety Instrumented System Attack', 'C0032: C0032', 'C0034: 2022 Ukraine Electric Power Attack'"
6.5201659766357745e+252,What campaigns used attack technique 'T1021.002: SMB/Windows Admin Shares'?,"The campaigns that used attack technique 'T1021.002: SMB/Windows Admin Shares' were: 'C0014: Operation Wocao', 'C0024: SolarWinds Compromise', 'C0025: 2016 Ukraine Electric Power Attack', 'C0029: Cutting Edge'"
6.013471755964594e-154,What campaigns used attack technique 'T1505.001: SQL Stored Procedures'?,The campaigns that used attack technique 'T1505.001: SQL Stored Procedures' were: 'C0025: 2016 Ukraine Electric Power Attack'
7.724847576222214e+228,What campaigns used attack technique 'T1027.002: Software Packing'?,"The campaigns that used attack technique 'T1027.002: Software Packing' were: 'C0002: Night Dragon', 'C0005: Operation Spalax', 'C0016: Operation Dust Storm', 'C0017: C0017', 'C0022: Operation Dream Job', 'C0025: 2016 Ukraine Electric Power Attack'"
