,question,answer
0.0,What is a potential indicator of the 'T1539: Steal Web Session Cookie' attack technique?,A potential indicator of the 'T1539: Steal Web Session Cookie' attack technique is monitoring for attempts by programs to inject into or dump browser process memory.
2.163664987e-314,How can the 'Process Access' data component be used to detect the 'T1539: Steal Web Session Cookie' attack technique?,The 'Process Access' data component can be used to detect the 'T1539: Steal Web Session Cookie' attack technique by monitoring for attempts by programs to inject into or dump browser process memory.
4.4575e-320,What is the path to the maps file in the /proc filesystem for a process being analyzed?,"The maps file is stored under the path /proc/<pid>/maps, where the <pid> directory is the unique pid of the program being interrogated for such authentication data."
,What is the potential consequence of malicious code injection into processes via TLS callbacks?,"The potential consequence of malicious code injection into processes via TLS callbacks is that it can evade process-based defenses and possibly elevate privileges, allowing attackers to gain unauthorized access and control."
1.500089289359168e+248,What is an abnormal call to a higher privileged process?,"An abnormal call to a higher privileged process is a connection made by a user application to a VPN service, which is not a typical or expected behavior."
4.5062008296066193e-144,What are the two techniques used by tools to attain SYSTEM privileges?,"Tools such as Meterpreter, Cobalt Strike, and Empire carry out automated steps to 'Get System', which is the same as switching over to the System user account. The first technique involves creating a named pipe and connecting an instance of cmd.exe to it, allowing them to impersonate the security context of cmd.exe, which is SYSTEM. The second technique involves injecting a malicious DLL into a process that is running as SYSTEM, which steals the SYSTEM token and applies it where necessary to escalate privileges."
1.3954788052263644e-142,What is the potential outcome of modifying access tokens in 'Access Token Manipulation'?,The potential outcome of modifying access tokens in 'Access Token Manipulation' is to enable the performance of actions and bypass access controls by operating under a different user or system security context.
1.9990799799914082e+161,What are some common accessibility programs that can be run using the Ease of Access center?,"The Ease of Access center can run sethc.exe, which handles StickyKeys; utilman.exe, which is the Ease of Access menu; osk.exe, which runs the On-Screen Keyboard; narrator.exe, which reads screen text over audio; and magnify.exe, which magnifies the view of the screen near the cursor."
2.9514827694506163e-75,How can a debugger be set up for one of the accessibility features?,"A debugger can be set up for one of the accessibility features by setting a key in the Windows Registry location HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options, which allows for parameters to be set for applications during execution."
7.611589253678304e+93,What is the purpose of Analytic 1 - Command Launched from Winlogon?,"The purpose of Analytic 1 - Command Launched from Winlogon is to detect instances of cmd.exe or powershell.exe launched directly from the logon process, winlogon.exe, which may indicate malicious activity."
4.787194209282134e+180,What is the purpose of Analytic 2 - Debuggers for Accessibility Applications?,"The purpose of Analytic 2 - Debuggers for Accessibility Applications is to detect instances of debuggers set up for accessibility applications, such as sethc.exe, utilman.exe, osk.exe, narrator.exe, and magnify.exe, which may indicate malicious activity."
1.6141055864059555e+132,What processes can be used to enumerate user accounts and groups?,The processes that can be used to enumerate user accounts and groups are net.exe and net1.exe.
2.3392304178128088e+166,What types of files are modified by processes indicative of 'T1098: Account Manipulation'?,Processes indicative of 'T1098: Account Manipulation' modify files such as `authorized_keys` and `/etc/ssh/sshd_config`.
8.830690657215124e+199,What is the method used by the 'T1547.014: Active Setup' attack technique to achieve persistence?,The 'T1547.014: Active Setup' attack technique achieves persistence by adding a Registry key to the Active Setup of the local machine.
9.219748561702852e+247,What is the primary goal of the 'T1137.006: Add-ins' attack technique?,The primary goal of the 'T1137.006: Add-ins' attack technique is to obtain persistence on a compromised system by abusing Microsoft Office add-ins. This allows the attacker to maintain a foothold on the system and continue to carry out malicious activities.
3.040409725461355e+180,What type of content is triggered by AppCert DLLs loaded into processes?,AppCert DLLs loaded into processes trigger malicious content that may establish persistence and/or elevate privileges.
5.376250074308702e+241,What is the primary method to detect the 'AppDomainManager' attack technique?,"The primary method to detect the 'AppDomainManager' attack technique is to monitor newly constructed processes for unusual activity, such as a process that does not use the network beginning to do so."
2.1115560712635064e+257,What is the process to monitor for potential indications of application shim abuse?,The process to monitor for potential indications of application shim abuse is to monitor newly executed processes for sdbinst.exe.
1.0590390538760082e+218,What are some public tools available to detect shims?,"Some public tools available to detect shims include Shim-Process-Scanner, Shim-Detector-Lite, Shim-Guard, ShimScanner, and ShimCacheMem."
2.5692909407563303e+161,What are some common tools used to compress or encrypt data that may aid in the 'T1560: Archive Collected Data' attack technique?,"The tools commonly used to compress or encrypt data that may aid in the 'T1560: Archive Collected Data' attack technique are 7-Zip, WinRAR, and WinZip."
1.137548028757916e+243,What is the primary goal of monitoring command-line usage of archiving software?,"The primary goal of monitoring command-line usage of archiving software is to detect potential malicious activity, such as data exfiltration, by identifying the use of tools like 7-Zip, WinRAR, and WinZip."
1.421378396266004e-76,What is the primary method to detect the 'T1053.002: At' attack technique?,"The primary method to detect the 'T1053.002: At' attack technique is by monitoring newly constructed processes with command-lines that create, modify, or are executed from tasks."
1.0330796487241137e+136,What are some examples of tasks that may spawn processes?,Examples of tasks that may spawn processes include tasks spawned from 'vchost.exe' or the Windows Task Scheduler 'taskeng.exe' for older OS versions.
2.025391734178107e+267,What is an instance of the process at.exe running imply?,An instance of the process at.exe running implies the querying or creation of tasks.
9.898036149421963e+164,What is the primary method to detect the 'T1059.010: AutoHotKey & AutoIT' attack technique?,The primary method to detect the 'T1059.010: AutoHotKey & AutoIT' attack technique is to monitor and analyze the execution and arguments of the 'AutoIt3.exe' and 'AutoHotkey.exe' interpreters.
1.1363034263581879e+243,What is the primary method to detect the 'T1197: BITS Jobs' attack technique?,The primary method to detect the 'T1197: BITS Jobs' attack technique is to monitor for newly constructed BITS tasks and enumerate them using the BITSAdmin tool (bitsadmin /list /allusers /verbose).
2.1136787638883094e+257,"What are the command-line parameters used to create, resume, or add a file to a BITS job?","The command-line parameters used to create, resume, or add a file to a BITS job are typically seen combined in a single command-line or executed in sequence, and include create, addfile, setnotifyflags, setnotifycmdline, setminretrydelay, setcustomheaders, and resume."
1.3899781896621274e+218,What is the purpose of Analytic 2 in detecting 'T1197: BITS Jobs'?,"Analytic 2 identifies Microsoft Background Intelligent Transfer Service utility (bitsadmin.exe) using the transfer parameter to download a remote object, and looks for download or upload on the command-line."
9.162813857624077e-72,What is the recommended approach to review the reputation of the IP or domain used in a BITS job?,"The recommended approach is to review the reputation of the IP or domain used, typically once executed, a follow-on command will be used to execute the dropped file."
7.274012199441158e+223,What is an indicator of the 'Break Process Trees' attack technique?,"An indicator of the 'Break Process Trees' attack technique is the abnormal creation of background processes, as well as processes executing from abnormal locations, such as /dev/shm."
1.421378396245898e-76,What are some potential signs of the 'Break Process Trees' attack technique?,"Potential signs of the 'Break Process Trees' attack technique include the creation of background processes that do not appear to be legitimate, as well as processes executing from locations that are not typical for the system, such as /dev/shm."
1.0330796487241137e+136,What is the primary purpose of monitoring newly executed processes in the context of detecting the 'T1176: Browser Extensions' attack technique?,The primary purpose of monitoring newly executed processes is to identify potential abuse of internet browser extensions to establish persistence.
3.073057153443317e-27,What are some examples of processes with arguments that may be associated with gathering browser information?,"Examples of processes with arguments that may be associated with gathering browser information include processes with arguments that reference local files and databases, such as `%APPDATA%/Google/Chrome`."
1.6141055864059473e+132,What is the purpose of monitoring for processes with arguments that may be associated with gathering browser information?,The purpose of monitoring for processes with arguments that may be associated with gathering browser information is to detect the attack technique 'T1217: Browser Information Discovery'.
2.649310569079802e+180,What is the recommended method to detect and analyze the execution and arguments of CMSTP.exe?,The recommended method is to use process monitoring to detect and analyze the execution and arguments of CMSTP.exe. This involves comparing recent invocations of CMSTP.exe with prior history of known good arguments and loaded files to determine anomalous and potentially adversarial activity.
8.002570227368626e+289,What type of events can be used to identify potential abuses of CMSTP.exe?,"Sysmon events can be used to identify potential abuses of CMSTP.exe. Specifically, events such as the creation of processes (Sysmon Event 1) that involve auto-elevated CMSTP COM interfaces can be monitored."
2.593386422867942e+161,What is the primary purpose of monitoring created processes with arguments that may delete or alter malicious network configuration settings?,The primary purpose of monitoring created processes with arguments that may delete or alter malicious network configuration settings is to detect and prevent the clearing of network connection history and configurations on a host system.
3.356438002319085e-152,What is the typical method used by threat actors to clear Windows Event Logs?,"Threat actors typically use the 'wevtutil' tool, which is a legitimate tool provided by Microsoft, to clear Windows Event Logs in an attempt to hide the activity of an intrusion."
2.951493668245724e-75,What is the recommended method to detect the 'T1651: Cloud Administration Command' attack technique?,The recommended method to detect the 'T1651: Cloud Administration Command' attack technique is to monitor virtual machines for the creation of processes associated with cloud virtual machine agents.
1.7436669766048545e-152,What specific process should be monitored in Windows-based Azure machines to detect the 'T1651: Cloud Administration Command' attack technique?,"In Windows-based Azure machines, the WindowsAzureGuestAgent.exe process should be monitored to detect the 'T1651: Cloud Administration Command' attack technique."
9.89803614942197e+164,What specific information is being monitored in the context of detecting the 'T1069.003: Cloud Groups' attack technique?,"In the context of detecting the 'T1069.003: Cloud Groups' attack technique, newly executed processes are being monitored to identify potential attempts to find cloud groups and permission settings."
5.357691954639381e-38,What is the primary method to detect the 'T1059: Command and Scripting Interpreter' attack technique?,The primary method to detect the 'T1059: Command and Scripting Interpreter' attack technique is by monitoring log files for process execution through command-line and scripting activities.
3.9465511494567894e+180,What is the primary method to detect the 'Compile After Delivery' attack technique?,The primary method to detect the 'Compile After Delivery' attack technique is to monitor for newly constructed processes and/or command-lines that look for non-native binary formats and cross-platform compiler and execution frameworks like Mono.
2.6626301756391224e-61,What are the typical scenarios where cross-platform compiler and execution frameworks like Mono are used?,"Typically, cross-platform compiler and execution frameworks like Mono are used in specific and limited cases, such as for software development."
4.0735986317770256e+223,What is the recommended method to detect the 'T1559.001: Component Object Model' attack technique?,"The recommended method is to monitor for newly executed processes that are associated with COM objects, especially those invoked by a user different than the one currently logged on."
5.131216632527686e+252,What specific type of processes should be monitored to detect the 'T1559.001: Component Object Model' attack technique?,"Newly executed processes associated with COM objects should be monitored, especially those invoked by a user different than the one currently logged on."
2.9514785550166496e-75,How can data component 'Process Creation' be used to detect the 'T1609: Container Administration Command' attack technique?,The 'Process Creation' data component can be used to detect the 'T1609: Container Administration Command' attack technique by capturing container administration service activities and executed commands through logging of process execution with command-line arguments on the container as well as within the underlying host.
9.046375455115964e-119,What are some examples of evidence that could indicate a successful compromise?,"Examples of evidence that could indicate a successful compromise include suspicious files written to disk, evidence of Process Injection for attempts to hide execution, or evidence of Discovery."
7.969322443382096e+165,What is the recommended method to analyze Control Panel items?,"The recommended method is to analyze new Control Panel items as well as those present on disk for malicious content using traditional tools and methods, pending anti-reverse-engineering techniques."
8.379818354818685e+276,What types of files are associated with the 'Process Creation' data component?,"The 'Process Creation' data component is associated with CPL files, such as the control.exe."
2.5991160702483878e+209,What is the data component used to detect the attack technique 'T1136: Create Account'?,The data component used to detect the attack technique 'T1136: Create Account' is 'Process Creation'.
3.9465505565805207e+180,What type of processes should be monitored to detect the 'T1136: Create Account' attack technique?,"Newly executed processes associated with account creation, such as net.exe, should be monitored to detect the 'T1136: Create Account' attack technique."
1.6141055864059495e+132,What types of files are being searched for in the Windows Registry?,"The analytic searches for files containing strings such as 'password' in the Windows Registry, specifically in the HKLM and HKCU keys."
2.1115591321306064e+257,What is the primary method used to detect the 'T1555: Credentials from Password Stores' attack technique?,The primary method used to detect the 'T1555: Credentials from Password Stores' attack technique is by monitoring newly executed processes that may search for common password storage locations to obtain user credentials.
2.0018278011654068e-23,What is the purpose of monitoring newly executed processes in the context of detecting 'T1555: Credentials from Password Stores'?,"The purpose of monitoring newly executed processes is to identify processes that may be searching for common password storage locations to obtain user credentials, which is a key indicator of the 'T1555: Credentials from Password Stores' attack technique."
9.480525731533978e+217,What is the primary method to detect the 'T1574.002: DLL Side-Loading' attack technique?,"The primary method to detect the 'T1574.002: DLL Side-Loading' attack technique is to monitor newly constructed processes for unusual activity, such as a process that does not use the network beginning to do so."
1.4213787153148135e-76,What are some command-lines involved in data destruction activity?,"The command-lines involved in data destruction activity are vssadmin, wbadmin, and bcdedit."
1.4017660160552213e-76,What is the significance of debugger-related system checks in the context of the 'T1622: Debugger Evasion' attack technique?,"Debugger-related system checks are likely to occur in the first steps of an operation, but may also occur throughout as an adversary learns the environment, which is significant in the context of the 'T1622: Debugger Evasion' attack technique."
6.013471755964656e-154,What is the purpose of CertUtil.exe in the context of encoding and decoding files?,"CertUtil.exe is used to encode and decode files, including PE and script code, by converting files to base64 with '-----BEGIN CERTIFICATE-----' and '-----END CERTIFICATE-----' tags, or encoding files in HEX and later decoding them for further execution."
9.072376093033975e+223,What specific systems are targeted by the 'T1561.002: Disk Structure Wipe' attack technique?,"The 'T1561.002: Disk Structure Wipe' attack technique targets specific critical systems or in large numbers in a network, with the goal of interrupting the availability of system and network resources."
9.898036149421963e+164,What is a common method used by threat actors to spawn arbitrary processes through DCOM?,The Microsoft Management Console (mmc.exe) can be used by threat actors to spawn arbitrary processes through DCOM.
5.992470918682921e+175,What are some suspicious child processes that can be used for malicious purposes?,"Cmd.exe, reg.exe, etc. can be used for malicious purposes."
1.69429828107061e-152,What is the typical process tree for the Microsoft Management Console method?,The typical process tree for this method looks like: svchost.exe —> mmc.exe —> <some_process>.exe.
1.9476746463418444e+243,What is the command-line argument used by Excel to execute processes through DCOM?,The /automation -Embedding command-line argument is used by Excel to execute processes through DCOM.
7.989291367316457e+289,What processes can be used to enumerate domain accounts and groups?,The processes that can be used to enumerate domain accounts and groups are net.exe and net1.exe.
2.1136581400827821e+257,What tools can be used to acquire information about domain accounts and groups?,Information may also be acquired through Windows system management tools such as Windows Management Instrumentation and PowerShell.
1.3899781896621274e+218,What is the data component used to detect the attack technique 'T1136.002: Domain Account'?,The data component used to detect the attack technique 'T1136.002: Domain Account' is 'Process Creation'.
9.162813857624077e-72,What is the purpose of monitoring newly executed processes in the context of detecting the 'T1069.002: Domain Groups' attack technique?,"The purpose of monitoring newly executed processes is to detect potential attempts to find domain-level groups and permission settings, which is a key aspect of the 'T1069.002: Domain Groups' attack technique."
1.0091983936126918e-66,What are some examples of auditing frameworks that can be used to detect the 'T1069.002: Domain Groups' attack technique on Linux systems?,Some examples of auditing frameworks that can be used to detect the 'T1069.002: Domain Groups' attack technique on Linux systems include the audit daemon (auditd) and other frameworks that support alerting on process creation.
