bi_encoder,reranker,reranker_path,loss_type,train_dataset,MRR@15,HitRate@3,HitRate@5,HitRate@10,avg_time_retrieval_sec,avg_time_rerank_sec,total_time_retrieval_sec,total_time_rerank_sec,top_k_retrieval
sentence-transformers/all-MiniLM-L6-v2,ranknet__train_cross_mining_dataset__validation_cross_mining_dataset,minilm_rerank_ranknet/train_cross_mining_dataset__validation_cross_mining_dataset/best_model,ranknet,train_cross_mining_dataset__validation_cross_mining_dataset,0.8039543726235742,0.8083650190114069,0.8091254752851711,0.8091254752851711,0.0002359723328779179,0.005865815600925639,0.310303617734462,7.713547515217215,15
sentence-transformers/all-MiniLM-L6-v2,triplet__train_cross_mining_dataset__validation_cross_mining_dataset,./minilm_rerank_triplet/train_cross_mining_dataset__validation_cross_mining_dataset/run_57_wpn6.0_wph1.5_whm0.5_m0.15/best_model,triplet,train_cross_mining_dataset__validation_cross_mining_dataset,0.8029150823827631,0.8091254752851711,0.8091254752851711,0.8091254752851711,0.0002359723328779179,0.005835971589989875,0.310303617734462,7.674302640836686,15
BAAI/bge-base-en-v1.5,ranknet__train_cross_mining_dataset__validation_cross_mining_dataset,minilm_rerank_ranknet/train_cross_mining_dataset__validation_cross_mining_dataset/best_model,ranknet,train_cross_mining_dataset__validation_cross_mining_dataset,0.802534854245881,0.8076045627376426,0.8076045627376426,0.8076045627376426,0.0007592263018903623,0.0064419396547423565,0.9983825869858265,8.4711506459862,15
sentence-transformers/all-MiniLM-L6-v2,triplet__train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,./minilm_rerank_triplet/train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset/run_75_wpn6.0_wph2.5_whm0.5_m0.15/best_model,triplet,train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,0.8015209125475286,0.8091254752851711,0.8091254752851711,0.8091254752851711,0.0002359723328779179,0.005864273946902258,0.310303617734462,7.711520240176469,15
BAAI/bge-base-en-v1.5,triplet__train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,./minilm_rerank_triplet/train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset/run_75_wpn6.0_wph2.5_whm0.5_m0.15/best_model,triplet,train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,0.8007604562737642,0.8076045627376426,0.8076045627376426,0.8076045627376426,0.0007592263018903623,0.006412428914579942,0.9983825869858265,8.432344022672623,15
BAAI/bge-base-en-v1.5,triplet__train_cross_mining_dataset__validation_cross_mining_dataset,./minilm_rerank_triplet/train_cross_mining_dataset__validation_cross_mining_dataset/run_57_wpn6.0_wph1.5_whm0.5_m0.15/best_model,triplet,train_cross_mining_dataset__validation_cross_mining_dataset,0.8003802281368821,0.8076045627376426,0.8076045627376426,0.8076045627376426,0.0007592263018903623,0.006596122603835149,0.9983825869858265,8.67390122404322,15
sentence-transformers/all-mpnet-base-v2,ranknet__train_cross_mining_dataset__validation_cross_mining_dataset,minilm_rerank_ranknet/train_cross_mining_dataset__validation_cross_mining_dataset/best_model,ranknet,train_cross_mining_dataset__validation_cross_mining_dataset,0.7846713742531233,0.7885931558935361,0.7893536121673004,0.7901140684410647,0.0006569155537923479,0.005801071948991529,0.8638439532369375,7.6284096129238605,15
sentence-transformers/all-mpnet-base-v2,triplet__train_cross_mining_dataset__validation_cross_mining_dataset,./minilm_rerank_triplet/train_cross_mining_dataset__validation_cross_mining_dataset/run_57_wpn6.0_wph1.5_whm0.5_m0.15/best_model,triplet,train_cross_mining_dataset__validation_cross_mining_dataset,0.7844106463878328,0.7901140684410647,0.7901140684410647,0.7901140684410647,0.0006569155537923479,0.005828457274350263,0.8638439532369375,7.664421315770596,15
sentence-transformers/all-mpnet-base-v2,triplet__train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,./minilm_rerank_triplet/train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset/run_75_wpn6.0_wph2.5_whm0.5_m0.15/best_model,triplet,train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,0.7827629911280101,0.7901140684410647,0.7901140684410647,0.7901140684410647,0.0006569155537923479,0.005857599246184636,0.8638439532369375,7.702743008732796,15
BAAI/bge-base-en-v1.5,ranknet__train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,minilm_rerank_ranknet/train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset/best_model,ranknet,train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,0.7353469681986796,0.7756653992395437,0.7923954372623574,0.8053231939163498,0.0007592263018903623,0.006446904554863959,0.9983825869858265,8.477679489646107,15
intfloat/e5-large-v2,ranknet__train_cross_mining_dataset__validation_cross_mining_dataset,minilm_rerank_ranknet/train_cross_mining_dataset__validation_cross_mining_dataset/best_model,ranknet,train_cross_mining_dataset__validation_cross_mining_dataset,0.7270595690747782,0.7307984790874524,0.7315589353612167,0.7315589353612167,0.0019445787162693509,0.00659245017653919,2.5571210118941963,8.669071982149035,15
intfloat/e5-large-v2,triplet__train_cross_mining_dataset__validation_cross_mining_dataset,./minilm_rerank_triplet/train_cross_mining_dataset__validation_cross_mining_dataset/run_57_wpn6.0_wph1.5_whm0.5_m0.15/best_model,triplet,train_cross_mining_dataset__validation_cross_mining_dataset,0.7259822560202789,0.7315589353612167,0.7315589353612167,0.7315589353612167,0.0019445787162693509,0.006594286098042255,2.5571210118941963,8.671486218925565,15
intfloat/e5-large-v2,triplet__train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,./minilm_rerank_triplet/train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset/run_75_wpn6.0_wph2.5_whm0.5_m0.15/best_model,triplet,train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,0.7248415716096325,0.7300380228136882,0.7315589353612167,0.7315589353612167,0.0019445787162693509,0.006649310929353699,2.5571210118941963,8.743843872100115,15
sentence-transformers/all-MiniLM-L6-v2,ranknet__train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,minilm_rerank_ranknet/train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset/best_model,ranknet,train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,0.7130735930735935,0.755893536121673,0.7817490494296578,0.8045627376425856,0.0002359723328779179,0.005851252897936469,0.310303617734462,7.694397560786456,15
sentence-transformers/all-MiniLM-L6-v2,No_Reranker,,none,none,0.7121249304139041,0.7437262357414449,0.7619771863117871,0.7863117870722434,0.0002359723328779179,0.0,0.310303617734462,0.0,15
BAAI/bge-base-en-v1.5,No_Reranker,,none,none,0.7097214192651461,0.7277566539923954,0.7566539923954373,0.7893536121673004,0.0007592263018903623,0.0,0.9983825869858265,0.0,15
sentence-transformers/all-mpnet-base-v2,No_Reranker,,none,none,0.6926513537159928,0.7239543726235741,0.7452471482889734,0.779467680608365,0.0006569155537923479,0.0,0.8638439532369375,0.0,15
intfloat/e5-base-v2,ranknet__train_cross_mining_dataset__validation_cross_mining_dataset,minilm_rerank_ranknet/train_cross_mining_dataset__validation_cross_mining_dataset/best_model,ranknet,train_cross_mining_dataset__validation_cross_mining_dataset,0.6908365019011408,0.694296577946768,0.6958174904942965,0.6958174904942965,0.0006665148903321857,0.007162992051402426,0.8764670807868242,9.41933454759419,15
