question,answer,y_pred,raw_output
What is the parent technique of attack technique 'T1542.005: Pre-OS Boot: TFTP Boot'?,The parent technique of attack technique 'T1542.005: Pre-OS Boot: TFTP Boot' is 'T1542: Pre-OS Boot',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1071.004: Application Layer Protocol: DNS'?,The parent technique of attack technique 'T1071.004: Application Layer Protocol: DNS' is 'T1071: Application Layer Protocol',2,"{""verdict"": ""yes""}"
What campaigns used attack technique 'T1189: Drive-by Compromise'?,"The campaigns that used attack technique 'T1189: Drive-by Compromise' were: 'C0010: C0010', 'C0016: Operation Dust Storm'",1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1056: Input Capture'?,The groups that used attack technique 'T1056: Input Capture' are: 'G0087: APT39',1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1505.001: Server Software Component: SQL Stored Procedures'?,The parent technique of attack technique 'T1505.001: Server Software Component: SQL Stored Procedures' is 'T1505: Server Software Component',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1584.006: Compromise Infrastructure: Web Services'?,The parent technique of attack technique 'T1584.006: Compromise Infrastructure: Web Services' is 'T1584: Compromise Infrastructure',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1102.001: Web Service: Dead Drop Resolver'?,The parent technique of attack technique 'T1102.001: Web Service: Dead Drop Resolver' is 'T1102: Web Service',2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1546.013: PowerShell Profile'?,The groups that used attack technique 'T1546.013: PowerShell Profile' are: 'G0010: Turla',1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1048.002: Exfiltration Over Asymmetric Encrypted Non-C2 Protocol'?,The campaigns that used attack technique 'T1048.002: Exfiltration Over Asymmetric Encrypted Non-C2 Protocol' were: 'C0024: SolarWinds Compromise',2,"{""verdict"": ""yes""}"
What campaigns used attack technique 'T1087.001: Local Account'?,The campaigns that used attack technique 'T1087.001: Local Account' were: 'C0012: Operation CuckooBees',1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1563.002: Remote Service Session Hijacking: RDP Hijacking'?,The parent technique of attack technique 'T1563.002: Remote Service Session Hijacking: RDP Hijacking' is 'T1563: Remote Service Session Hijacking',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1591.004: Gather Victim Org Information: Identify Roles'?,The parent technique of attack technique 'T1591.004: Gather Victim Org Information: Identify Roles' is 'T1591: Gather Victim Org Information',2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1553.006: Code Signing Policy Modification'?,"The groups that used attack technique 'T1553.006: Code Signing Policy Modification' are: 'G0010: Turla', 'G0087: APT39'",1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1003.005: OS Credential Dumping: Cached Domain Credentials'?,The parent technique of attack technique 'T1003.005: OS Credential Dumping: Cached Domain Credentials' is 'T1003: OS Credential Dumping',2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1218.008: Odbcconf'?,The groups that used attack technique 'T1218.008: Odbcconf' are: 'G0080: Cobalt Group',1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1137.002: Office Application Startup: Office Test'?,The parent technique of attack technique 'T1137.002: Office Application Startup: Office Test' is 'T1137: Office Application Startup',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1055.001: Process Injection: Dynamic-link Library Injection'?,The parent technique of attack technique 'T1055.001: Process Injection: Dynamic-link Library Injection' is 'T1055: Process Injection',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1055.003: Process Injection: Thread Execution Hijacking'?,The parent technique of attack technique 'T1055.003: Process Injection: Thread Execution Hijacking' is 'T1055: Process Injection',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1574.004: Hijack Execution Flow: Dylib Hijacking'?,The parent technique of attack technique 'T1574.004: Hijack Execution Flow: Dylib Hijacking' is 'T1574: Hijack Execution Flow',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1564.006: Hide Artifacts: Run Virtual Instance'?,The parent technique of attack technique 'T1564.006: Hide Artifacts: Run Virtual Instance' is 'T1564: Hide Artifacts',2,"{""verdict"": ""yes""}"
What software are used by attack group 'G0002: Moafee'?,The software used by attack group 'G0002: Moafee' are: 'S0012: PoisonIvy',1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1056.002: Input Capture: GUI Input Capture'?,The parent technique of attack technique 'T1056.002: Input Capture: GUI Input Capture' is 'T1056: Input Capture',2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1202: Indirect Command Execution'?,The groups that used attack technique 'T1202: Indirect Command Execution' are: 'G0032: Lazarus Group',1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1564.007: Hide Artifacts: VBA Stomping'?,The parent technique of attack technique 'T1564.007: Hide Artifacts: VBA Stomping' is 'T1564: Hide Artifacts',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1059.005: Command and Scripting Interpreter: Visual Basic'?,The parent technique of attack technique 'T1059.005: Command and Scripting Interpreter: Visual Basic' is 'T1059: Command and Scripting Interpreter',2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1595.003: Wordlist Scanning'?,"The groups that used attack technique 'T1595.003: Wordlist Scanning' are: 'G0096: APT41', 'G0123: Volatile Cedar'",1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1568.003: Dynamic Resolution: DNS Calculation'?,The parent technique of attack technique 'T1568.003: Dynamic Resolution: DNS Calculation' is 'T1568: Dynamic Resolution',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1497.003: Virtualization/Sandbox Evasion: Time Based Evasion'?,The parent technique of attack technique 'T1497.003: Virtualization/Sandbox Evasion: Time Based Evasion' is 'T1497: Virtualization/Sandbox Evasion',2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1615: Group Policy Discovery'?,The groups that used attack technique 'T1615: Group Policy Discovery' are: 'G0010: Turla',1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1547.004: Winlogon Helper DLL'?,"The groups that used attack technique 'T1547.004: Winlogon Helper DLL' are: 'G0010: Turla', 'G0081: Tropic Trooper', 'G0102: Wizard Spider'",2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1566.001: Phishing: Spearphishing Attachment'?,The parent technique of attack technique 'T1566.001: Phishing: Spearphishing Attachment' is 'T1566: Phishing',2,"{""verdict"": ""yes""}"
What campaigns used attack technique 'T1003.006: DCSync'?,"The campaigns that used attack technique 'T1003.006: DCSync' were: 'C0014: Operation Wocao', 'C0024: SolarWinds Compromise', 'C0027: C0027'",1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1562.008: Impair Defenses: Disable or Modify Cloud Logs'?,The parent technique of attack technique 'T1562.008: Impair Defenses: Disable or Modify Cloud Logs' is 'T1562: Impair Defenses',2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1037.001: Logon Script (Windows)'?,"The groups that used attack technique 'T1037.001: Logon Script (Windows)' are: 'G0007: APT28', 'G0080: Cobalt Group'",1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1608: Stage Capabilities'?,The groups that used attack technique 'T1608: Stage Capabilities' are: 'G0129: Mustang Panda',1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1140: Deobfuscate/Decode Files or Information'?,"The campaigns that used attack technique 'T1140: Deobfuscate/Decode Files or Information' were: 'C0001: Frankenstein', 'C0005: Operation Spalax', 'C0006: Operation Honeybee', 'C0016: Operation Dust Storm', 'C0017: C0017', 'C0021: C0021', 'C0024: SolarWinds Compromise'",2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1564.005: Hidden File System'?,"The groups that used attack technique 'T1564.005: Hidden File System' are: 'G0020: Equation', 'G0041: Strider'",1,"{""verdict"": ""uncertain""}"
What software are used by attack group 'G0093: GALLIUM'?,"The software used by attack group 'G0093: GALLIUM' are: 'S0002: Mimikatz', 'S0005: Windows Credential Editor', 'S0012: PoisonIvy', 'S0013: PlugX', 'S0020: China Chopper', 'S0029: PsExec', 'S0039: Net', 'S0040: HTRAN', 'S0075: Reg', 'S0097: Ping', 'S0100: ipconfig', 'S0106: cmd', 'S0110: at', 'S0564: BlackMould', 'S0590: NBTscan', 'S1031: PingPull'",1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1560.003: Archive via Custom Method'?,The campaigns that used attack technique 'T1560.003: Archive via Custom Method' were: 'C0017: C0017',1,"{""verdict"": ""uncertain""}"
