question,answer,y_pred,raw_output
What campaigns used software 'S0512: FatDuke'?,,1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1049: System Network Connections Discovery'?,"The campaigns that used attack technique 'T1049: System Network Connections Discovery' were: 'C0007: FunnyDream', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao'",1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What attack groups used software 'S0215: KARAE'?,,1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1048.001: Exfiltration Over Alternative Protocol: Exfiltration Over Symmetric Encrypted Non-C2 Protocol'?,The parent technique of attack technique 'T1048.001: Exfiltration Over Alternative Protocol: Exfiltration Over Symmetric Encrypted Non-C2 Protocol' is 'T1048: Exfiltration Over Alternative Protocol',2,"{""verdict"": ""yes""}"
,,1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1057: Process Discovery'?,"The campaigns that used attack technique 'T1057: Process Discovery' were: 'C0001: Frankenstein', 'C0006: Operation Honeybee', 'C0007: FunnyDream', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0015: C0015', 'C0024: SolarWinds Compromise'",2,"{""verdict"": ""yes""}"
,,1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1216.001: PubPrn'?,The groups that used attack technique 'T1216.001: PubPrn' are: 'G0050: APT32',1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1548.001: Abuse Elevation Control Mechanism: Setuid and Setgid'?,The parent technique of attack technique 'T1548.001: Abuse Elevation Control Mechanism: Setuid and Setgid' is 'T1548: Abuse Elevation Control Mechanism',2,"{""verdict"": ""yes""}"
What campaigns used attack technique 'T1574.011: Services Registry Permissions Weakness'?,The campaigns that used attack technique 'T1574.011: Services Registry Permissions Weakness' were: 'C0006: Operation Honeybee',1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1587.004: Develop Capabilities: Exploits'?,The parent technique of attack technique 'T1587.004: Develop Capabilities: Exploits' is 'T1587: Develop Capabilities',2,"{""verdict"": ""yes""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1003.002: Security Account Manager'?,"The campaigns that used attack technique 'T1003.002: Security Account Manager' were: 'C0002: Night Dragon', 'C0012: Operation CuckooBees', 'C0017: C0017'",1,"{""verdict"": ""uncertain""}"
What attack groups used software 'S0121: Lslsass'?,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1098.002: Account Manipulation: Additional Email Delegate Permissions'?,The parent technique of attack technique 'T1098.002: Account Manipulation: Additional Email Delegate Permissions' is 'T1098: Account Manipulation',2,"{""verdict"": ""yes""}"
What campaigns used attack technique 'T1069.001: Local Groups'?,"The campaigns that used attack technique 'T1069.001: Local Groups' were: 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0015: C0015'",1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
