question,answer,verdict_code,verdict_raw,reasoning,raw_output
What campaigns used attack technique 'T1574: Hijack Execution Flow'?,The campaigns that used attack technique 'T1574: Hijack Execution Flow' were: 'C0017: C0017',1,uncertain,"{
  ""reasoning"": ""The answer does not provide sufficient information as it only lists one campaign 'C0017: C0017' without any context or explanation of how it relates to the attack technique 'T1574: H..."," {
  ""reasoning"": ""The answer does not provide sufficient information as it only lists one campaign 'C0017: C0017' without any context or explanation of how it relates to the attack technique 'T1574: Hijack Execution Flow'. It is unclear if this is the only campaign that used this technique or if there are others."",
  ""verdict"": ""uncertain"""
What groups used attack technique 'T1561.001: Disk Content Wipe'?,The groups that used attack technique 'T1561.001: Disk Content Wipe' are: 'G0032: Lazarus Group',1,partial,"The answer identifies a specific group, Lazarus Group, that is known to use the attack technique 'T1561.001: Disk Content Wipe'. However, it's important to note that other groups may also use this technique, and the answer does not explicitly state that Lazarus Group is the only one."," {
  ""reasoning"": ""The answer identifies a specific group, Lazarus Group, that is known to use the attack technique 'T1561.001: Disk Content Wipe'. However, it's important to note that other groups may also use this technique, and the answer does not explicitly state that Lazarus Group is the only one."",
  ""verdict"": ""partial""
}

This answer is partially correct, as it identifies one group that uses the attack technique, but it does not rule out the possibility that other groups may also use it."
How many data components can be used to detect attack technique 'T1557.001: Adversary-in-the-Middle: LLMNR/NBT-NS Poisoning and SMB Relay'? Name them all.,"The following 4 data components can be used to detect attack technique 'T1557.001: Adversary-in-the-Middle: LLMNR/NBT-NS Poisoning and SMB Relay': Network Traffic Content, Network Traffic Flow, Service Creation, Windows Registry Key Modification",1,uncertain,"The answer lists four potential data components that can be used to detect the specified attack technique, which is correct. However, it's important to note that these data components may not be the only ones, and the completeness of the answer depends on the specific context and the detection capabilities of the security solution being used."," {
  ""reasoning"": ""The answer lists four potential data components that can be used to detect the specified attack technique, which is correct. However, it's important to note that these data components may not be the only ones, and the completeness of the answer depends on the specific context and the detection capabilities of the security solution being used."",
  ""verdict"": ""uncertain""
}

Explanation:
The answer is correct in that it identifies four potential data components that can be used to detect the specified attack technique. However, it's important to note that the completeness of the answer depends on the specific context and the detection capabilities of the security solution being used. There may be other data components that can also be used for detection, and the answer does not provide a definitive list. Therefore, the verdict is uncertain."
What is the parent technique of attack technique 'T1497.002: Virtualization/Sandbox Evasion: User Activity Based Checks'?,The parent technique of attack technique 'T1497.002: Virtualization/Sandbox Evasion: User Activity Based Checks' is 'T1497: Virtualization/Sandbox Evasion',2,yes,The answer correctly identifies the parent technique of the given attack technique.," {
  ""reasoning"": ""The answer correctly identifies the parent technique of the given attack technique."",
  ""verdict"": ""yes""
}"
What attack techniques are used by attack group 'G0096: APT41'?,"The attack techniques used by attack group 'G0096: APT41' are: 'T1003.001: LSASS Memory', 'T1003.002: Security Account Manager', 'T1003.003: NTDS', 'T1005: Data from Local System', 'T1008: Fallback Channels', 'T1012: Query Registry', 'T1014: Rootkit', 'T1016: System Network Configuration Discovery', 'T1021.001: Remote Desktop Protocol', 'T1021.002: SMB/Windows Admin Shares', 'T1027.002: Software Packing', 'T1027: Obfuscated Files or Information', 'T1030: Data Transfer Size Limits', 'T1033: System Owner/User Discovery', 'T1036.004: Masquerade Task or Service', 'T1036.005: Match Legitimate Name or Location', 'T1046: Network Service Discovery', 'T1047: Windows Management Instrumentation', 'T1049: System Network Connections Discovery', 'T1053.005: Scheduled Task', 'T1055: Process Injection', 'T1056.001: Keylogging', 'T1059.001: PowerShell', 'T1059.003: Windows Command Shell', 'T1059.004: Unix Shell', 'T1069: Permission Groups Discovery', 'T1070.001: Clear Windows Event Logs', 'T1070.003: Clear Command History', 'T1070.004: File Deletion', 'T1071.001: Web Protocols', 'T1071.002: File Transfer Protocols', 'T1071.004: DNS', 'T1078: Valid Accounts', 'T1082: System Information Discovery', 'T1083: File and Directory Discovery', 'T1087.001: Local Account', 'T1087.002: Domain Account', 'T1090: Proxy', 'T1098: Account Manipulation', 'T1102.001: Dead Drop Resolver', 'T1104: Multi-Stage Channels', 'T1105: Ingress Tool Transfer', 'T1110.002: Password Cracking', 'T1112: Modify Registry', 'T1133: External Remote Services', 'T1135: Network Share Discovery', 'T1136.001: Local Account', 'T1190: Exploit Public-Facing Application', 'T1195.002: Compromise Software Supply Chain', 'T1197: BITS Jobs', 'T1203: Exploitation for Client Execution', 'T1213.003: Code Repositories', 'T1218.001: Compiled HTML File', 'T1218.011: Rundll32', 'T1480.001: Environmental Keying', 'T1486: Data Encrypted for Impact', 'T1496: Resource Hijacking', 'T1542.003: Bootkit', 'T1543.003: Windows Service', 'T1546.008: Accessibility Features', 'T1547.001: Registry Run Keys / Startup Folder', 'T1550.002: Pass the Hash', 'T1553.002: Code Signing', 'T1555.003: Credentials from Web Browsers', 'T1560.001: Archive via Utility', 'T1562.006: Indicator Blocking', 'T1566.001: Spearphishing Attachment', 'T1568.002: Domain Generation Algorithms', 'T1569.002: Service Execution', 'T1570: Lateral Tool Transfer', 'T1574.001: DLL Search Order Hijacking', 'T1574.002: DLL Side-Loading', 'T1574.006: Dynamic Linker Hijacking', 'T1588.002: Tool', 'T1589.001: Credentials', 'T1589.003: Employee Names', 'T1595.002: Vulnerability Scanning', 'T1595.003: Wordlist Scanning', 'T1596.005: Scan Databases'",2,yes,"{
  ""reasoning"": ""The answer provides a list of tactics and techniques used by attack group 'G0096: APT41' according to the MITRE ATT&CK framework. Each tactic and technique is identified by a unique ..."," {
  ""reasoning"": ""The answer provides a list of tactics and techniques used by attack group 'G0096: APT41' according to the MITRE ATT&CK framework. Each tactic and technique is identified by a unique code. The list is comprehensive and covers various areas of attack such as initial access, execution, persistence, privilege escalation, defense evasion, credential access, discovery, lateral movement, collection, exfiltration, and command and control."",
  ""verdict"": ""yes"""
What software procedures use attack technique 'T1090.004: Domain Fronting'?,"The software procedures that use attack technique 'T1090.004: Domain Fronting' are: 'S0154: Cobalt Strike', 'S0175: meek', 'S0649: SMOKEDHAM', 'S0699: Mythic'",2,yes,The answer lists specific software procedures known to use the domain fronting technique T1090.004. This technique allows attackers to bypass firewalls and access blocked domains by routing their traffic through legitimate services. The listed software procedures are known to support domain fronting in their functionality.," {
  ""reasoning"": ""The answer lists specific software procedures known to use the domain fronting technique T1090.004. This technique allows attackers to bypass firewalls and access blocked domains by routing their traffic through legitimate services. The listed software procedures are known to support domain fronting in their functionality."",
  ""verdict"": ""yes""
}"
What campaigns used attack technique 'T1120: Peripheral Device Discovery'?,"The campaigns that used attack technique 'T1120: Peripheral Device Discovery' were: 'C0012: Operation CuckooBees', 'C0014: Operation Wocao'",2,yes,The answer lists specific campaigns that have been reported to use the attack technique 'T1120: Peripheral Device Discovery'.," {
  ""reasoning"": ""The answer lists specific campaigns that have been reported to use the attack technique 'T1120: Peripheral Device Discovery'."",
  ""verdict"": ""yes""
}"
Which tactics are used in attack technique 'T1537: Transfer Data to Cloud Account'? Name them all,1 tactic is used in attack technique 'T1537: Transfer Data to Cloud Account'. It is: Exfiltration,0,no,"The answer identifies one tactic used in the attack technique 'T1537: Transfer Data to Cloud Account', which is exfiltration. However, the question asks for 'all' the tactics, implying there might be more than one. Therefore, the answer is incomplete."," {
  ""reasoning"": ""The answer identifies one tactic used in the attack technique 'T1537: Transfer Data to Cloud Account', which is exfiltration. However, the question asks for 'all' the tactics, implying there might be more than one. Therefore, the answer is incomplete."",
  ""verdict"": ""no""
}"
What software are used by attack group 'G0071: Orangeworm'?,"The software used by attack group 'G0071: Orangeworm' are: 'S0039: Net', 'S0096: Systeminfo', 'S0099: Arp', 'S0100: ipconfig', 'S0103: route', 'S0104: netstat', 'S0106: cmd', 'S0236: Kwampirs'",1,uncertain,"The answer lists several software or command-line utilities, but it does not provide any context or explanation as to how they are related to attack group 'G0071: Orangeworm'. The question asks for the software used by the attack group, not a list of software or utilities that may be used during an attack."," {
  ""reasoning"": ""The answer lists several software or command-line utilities, but it does not provide any context or explanation as to how they are related to attack group 'G0071: Orangeworm'. The question asks for the software used by the attack group, not a list of software or utilities that may be used during an attack."",
  ""verdict"": ""uncertain""
}"
What attack techniques are used by attack group 'G0027: Threat Group-3390'?,"The attack techniques used by attack group 'G0027: Threat Group-3390' are: 'T1003.001: LSASS Memory', 'T1003.002: Security Account Manager', 'T1003.004: LSA Secrets', 'T1005: Data from Local System', 'T1012: Query Registry', 'T1016: System Network Configuration Discovery', 'T1018: Remote System Discovery', 'T1021.006: Windows Remote Management', 'T1027.002: Software Packing', 'T1027.013: Encrypted/Encoded File', 'T1030: Data Transfer Size Limits', 'T1033: System Owner/User Discovery', 'T1046: Network Service Discovery', 'T1047: Windows Management Instrumentation', 'T1049: System Network Connections Discovery', 'T1053.002: At', 'T1055.012: Process Hollowing', 'T1056.001: Keylogging', 'T1059.001: PowerShell', 'T1059.003: Windows Command Shell', 'T1068: Exploitation for Privilege Escalation', 'T1070.004: File Deletion', 'T1070.005: Network Share Connection Removal', 'T1071.001: Web Protocols', 'T1074.001: Local Data Staging', 'T1074.002: Remote Data Staging', 'T1078: Valid Accounts', 'T1087.001: Local Account', 'T1105: Ingress Tool Transfer', 'T1112: Modify Registry', 'T1119: Automated Collection', 'T1133: External Remote Services', 'T1140: Deobfuscate/Decode Files or Information', 'T1189: Drive-by Compromise', 'T1190: Exploit Public-Facing Application', 'T1195.002: Compromise Software Supply Chain', 'T1199: Trusted Relationship', 'T1203: Exploitation for Client Execution', 'T1204.002: Malicious File', 'T1210: Exploitation of Remote Services', 'T1505.003: Web Shell', 'T1543.003: Windows Service', 'T1547.001: Registry Run Keys / Startup Folder', 'T1548.002: Bypass User Account Control', 'T1555.005: Password Managers', 'T1560.002: Archive via Library', 'T1562.002: Disable Windows Event Logging', 'T1566.001: Spearphishing Attachment', 'T1567.002: Exfiltration to Cloud Storage', 'T1574.001: DLL Search Order Hijacking', 'T1574.002: DLL Side-Loading', 'T1583.001: Domains', 'T1588.002: Tool', 'T1588.003: Code Signing Certificates', 'T1608.001: Upload Malware', 'T1608.002: Upload Tool', 'T1608.004: Drive-by Target'",2,yes,The answer provides a list of attack techniques associated with the threat group 'G0027: Threat Group-3390' according to the MITRE ATT&CK framework. Each technique is identified by a unique code and a brief description.," {
  ""reasoning"": ""The answer provides a list of attack techniques associated with the threat group 'G0027: Threat Group-3390' according to the MITRE ATT&CK framework. Each technique is identified by a unique code and a brief description."",
  ""verdict"": ""yes""
}"
What attack techniques are used by software 'S0443: MESSAGETAP'?,"The attack techniques used by software 'S0443: MESSAGETAP' are: 'T1040: Network Sniffing', 'T1049: System Network Connections Discovery', 'T1070.004: File Deletion', 'T1074.001: Local Data Staging', 'T1083: File and Directory Discovery', 'T1119: Automated Collection', 'T1140: Deobfuscate/Decode Files or Information', 'T1560.003: Archive via Custom Method'",1,uncertain,"{
  ""reasoning"": ""The answer lists several known attack techniques, but it does not provide any context or explanation as to how these techniques relate to the specific software 'S0443: MESSAGETAP'. I..."," {
  ""reasoning"": ""The answer lists several known attack techniques, but it does not provide any context or explanation as to how these techniques relate to the specific software 'S0443: MESSAGETAP'. It is possible that the software uses some or all of these techniques, but without further information, it is impossible to determine the exact relationship."",
  ""verdict"": ""uncertain"""
What software are used by attack group 'G0136: IndigoZebra'?,"The software used by attack group 'G0136: IndigoZebra' are: 'S0012: PoisonIvy', 'S0651: BoxCaon', 'S0653: xCaon'",2,yes,The answer lists specific software associated with the attack group 'G0136: IndigoZebra' according to threat intelligence reports.," {
  ""reasoning"": ""The answer lists specific software associated with the attack group 'G0136: IndigoZebra' according to threat intelligence reports."",
  ""verdict"": ""yes""
}"
What attack groups used software 'S1026: Mongall'?,The attack groups that used software 'S1026: Mongall' were: 'G1007: Aoqin Dragon',0,no,"The answer is incorrect and incomplete. The question asks for the attack groups that used 'S1026: Mongall', but the answer only mentions one group, 'G1007: Aoqin Dragon'. It is possible that other attack groups have also used this software, so the answer is incomplete."," {
  ""reasoning"": ""The answer is incorrect and incomplete. The question asks for the attack groups that used 'S1026: Mongall', but the answer only mentions one group, 'G1007: Aoqin Dragon'. It is possible that other attack groups have also used this software, so the answer is incomplete."",
  ""verdict"": ""no""
}"
What attack groups used software 'S1018: Saint Bot'?,The attack groups that used software 'S1018: Saint Bot' were: 'G1003: Ember Bear',0,no,The answer is incorrect as there is no known relationship between 'G1003: Ember Bear' and 'S1018: Saint Bot'.," {
  ""reasoning"": ""The answer is incorrect as there is no known relationship between 'G1003: Ember Bear' and 'S1018: Saint Bot'."",
  ""verdict"": ""no""
}"
