question,answer,verdict_code,verdict_raw,reasoning,raw_output
What campaigns used attack technique 'T1574: Hijack Execution Flow'?,The campaigns that used attack technique 'T1574: Hijack Execution Flow' were: 'C0017: C0017',0,no,The answer provides specific campaign names but does not explain what 'T1574: Hijack Execution Flow' is or how it was used in those campaigns.,"{
  ""reasoning"": ""The answer provides specific campaign names but does not explain what 'T1574: Hijack Execution Flow' is or how it was used in those campaigns."",
  ""verdict"": ""no""
}"
What groups used attack technique 'T1561.001: Disk Content Wipe'?,The groups that used attack technique 'T1561.001: Disk Content Wipe' are: 'G0032: Lazarus Group',2,yes,"The answer provides a specific group associated with the attack technique, which is relevant and accurate. However, it does not provide any additional context or information about the technique itself.","{
  ""reasoning"": ""The answer provides a specific group associated with the attack technique, which is relevant and accurate. However, it does not provide any additional context or information about the technique itself."",
  ""verdict"": ""yes""
}"
How many data components can be used to detect attack technique 'T1557.001: Adversary-in-the-Middle: LLMNR/NBT-NS Poisoning and SMB Relay'? Name them all.,"The following 4 data components can be used to detect attack technique 'T1557.001: Adversary-in-the-Middle: LLMNR/NBT-NS Poisoning and SMB Relay': Network Traffic Content, Network Traffic Flow, Service Creation, Windows Registry Key Modification",0,no,"The answer provides the correct number of data components and lists them, but it does not specify the protocol associated with the technique.","{
  ""reasoning"": ""The answer provides the correct number of data components and lists them, but it does not specify the protocol associated with the technique."",
  ""verdict"": ""no""
}"
What is the parent technique of attack technique 'T1497.002: Virtualization/Sandbox Evasion: User Activity Based Checks'?,The parent technique of attack technique 'T1497.002: Virtualization/Sandbox Evasion: User Activity Based Checks' is 'T1497: Virtualization/Sandbox Evasion',0,no,The answer correctly identifies the parent technique but does not specify the version number as asked in the question.,"{
  ""reasoning"": ""The answer correctly identifies the parent technique but does not specify the version number as asked in the question."",
  ""verdict"": ""no""
}"
What attack techniques are used by attack group 'G0096: APT41'?,"The attack techniques used by attack group 'G0096: APT41' are: 'T1003.001: LSASS Memory', 'T1003.002: Security Account Manager', 'T1003.003: NTDS', 'T1005: Data from Local System', 'T1008: Fallback Channels', 'T1012: Query Registry', 'T1014: Rootkit', 'T1016: System Network Configuration Discovery', 'T1021.001: Remote Desktop Protocol', 'T1021.002: SMB/Windows Admin Shares', 'T1027.002: Software Packing', 'T1027: Obfuscated Files or Information', 'T1030: Data Transfer Size Limits', 'T1033: System Owner/User Discovery', 'T1036.004: Masquerade Task or Service', 'T1036.005: Match Legitimate Name or Location', 'T1046: Network Service Discovery', 'T1047: Windows Management Instrumentation', 'T1049: System Network Connections Discovery', 'T1053.005: Scheduled Task', 'T1055: Process Injection', 'T1056.001: Keylogging', 'T1059.001: PowerShell', 'T1059.003: Windows Command Shell', 'T1059.004: Unix Shell', 'T1069: Permission Groups Discovery', 'T1070.001: Clear Windows Event Logs', 'T1070.003: Clear Command History', 'T1070.004: File Deletion', 'T1071.001: Web Protocols', 'T1071.002: File Transfer Protocols', 'T1071.004: DNS', 'T1078: Valid Accounts', 'T1082: System Information Discovery', 'T1083: File and Directory Discovery', 'T1087.001: Local Account', 'T1087.002: Domain Account', 'T1090: Proxy', 'T1098: Account Manipulation', 'T1102.001: Dead Drop Resolver', 'T1104: Multi-Stage Channels', 'T1105: Ingress Tool Transfer', 'T1110.002: Password Cracking', 'T1112: Modify Registry', 'T1133: External Remote Services', 'T1135: Network Share Discovery', 'T1136.001: Local Account', 'T1190: Exploit Public-Facing Application', 'T1195.002: Compromise Software Supply Chain', 'T1197: BITS Jobs', 'T1203: Exploitation for Client Execution', 'T1213.003: Code Repositories', 'T1218.001: Compiled HTML File', 'T1218.011: Rundll32', 'T1480.001: Environmental Keying', 'T1486: Data Encrypted for Impact', 'T1496: Resource Hijacking', 'T1542.003: Bootkit', 'T1543.003: Windows Service', 'T1546.008: Accessibility Features', 'T1547.001: Registry Run Keys / Startup Folder', 'T1550.002: Pass the Hash', 'T1553.002: Code Signing', 'T1555.003: Credentials from Web Browsers', 'T1560.001: Archive via Utility', 'T1562.006: Indicator Blocking', 'T1566.001: Spearphishing Attachment', 'T1568.002: Domain Generation Algorithms', 'T1569.002: Service Execution', 'T1570: Lateral Tool Transfer', 'T1574.001: DLL Search Order Hijacking', 'T1574.002: DLL Side-Loading', 'T1574.006: Dynamic Linker Hijacking', 'T1588.002: Tool', 'T1589.001: Credentials', 'T1589.003: Employee Names', 'T1595.002: Vulnerability Scanning', 'T1595.003: Wordlist Scanning', 'T1596.005: Scan Databases'",0,no,"The answer provides a detailed list of attack techniques used by the APT41 group, which is relevant to the question. However, it lacks an explanation of how these techniques are used or their significance.","{
  ""reasoning"": ""The answer provides a detailed list of attack techniques used by the APT41 group, which is relevant to the question. However, it lacks an explanation of how these techniques are used or their significance."",
  ""verdict"": ""no""
}"
What software procedures use attack technique 'T1090.004: Domain Fronting'?,"The software procedures that use attack technique 'T1090.004: Domain Fronting' are: 'S0154: Cobalt Strike', 'S0175: meek', 'S0649: SMOKEDHAM', 'S0699: Mythic'",0,no,"The answer provides a list of software procedures that use the specified attack technique, which is relevant to the question. However, it does not explain what 'Domain Fronting' is or how these software procedures utilize it.","{
  ""reasoning"": ""The answer provides a list of software procedures that use the specified attack technique, which is relevant to the question. However, it does not explain what 'Domain Fronting' is or how these software procedures utilize it."",
  ""verdict"": ""no""
}"
What campaigns used attack technique 'T1120: Peripheral Device Discovery'?,"The campaigns that used attack technique 'T1120: Peripheral Device Discovery' were: 'C0012: Operation CuckooBees', 'C0014: Operation Wocao'",1,uncertain,"The answer provides specific campaign names that used the mentioned attack technique, which is relevant and factual. However, it does not specify the source or context of this information, which could make the answer uncertain.","{
  ""reasoning"": ""The answer provides specific campaign names that used the mentioned attack technique, which is relevant and factual. However, it does not specify the source or context of this information, which could make the answer uncertain."",
  ""verdict"": ""uncertain""
}"
Which tactics are used in attack technique 'T1537: Transfer Data to Cloud Account'? Name them all,1 tactic is used in attack technique 'T1537: Transfer Data to Cloud Account'. It is: Exfiltration,0,no,"The answer provides a correct tactic but does not specify that there is only one tactic used in the technique, which contradicts the question's request to name all tactics.","{
  ""reasoning"": ""The answer provides a correct tactic but does not specify that there is only one tactic used in the technique, which contradicts the question's request to name all tactics."",
  ""verdict"": ""no""
}"
What software are used by attack group 'G0071: Orangeworm'?,"The software used by attack group 'G0071: Orangeworm' are: 'S0039: Net', 'S0096: Systeminfo', 'S0099: Arp', 'S0100: ipconfig', 'S0103: route', 'S0104: netstat', 'S0106: cmd', 'S0236: Kwampirs'",1,uncertain,"The answer lists software used by the attack group 'G0071: Orangeworm', but it does not provide any context or explanation about the software or the group.","{
  ""reasoning"": ""The answer lists software used by the attack group 'G0071: Orangeworm', but it does not provide any context or explanation about the software or the group."",
  ""verdict"": ""uncertain""
}"
What attack techniques are used by attack group 'G0027: Threat Group-3390'?,"The attack techniques used by attack group 'G0027: Threat Group-3390' are: 'T1003.001: LSASS Memory', 'T1003.002: Security Account Manager', 'T1003.004: LSA Secrets', 'T1005: Data from Local System', 'T1012: Query Registry', 'T1016: System Network Configuration Discovery', 'T1018: Remote System Discovery', 'T1021.006: Windows Remote Management', 'T1027.002: Software Packing', 'T1027.013: Encrypted/Encoded File', 'T1030: Data Transfer Size Limits', 'T1033: System Owner/User Discovery', 'T1046: Network Service Discovery', 'T1047: Windows Management Instrumentation', 'T1049: System Network Connections Discovery', 'T1053.002: At', 'T1055.012: Process Hollowing', 'T1056.001: Keylogging', 'T1059.001: PowerShell', 'T1059.003: Windows Command Shell', 'T1068: Exploitation for Privilege Escalation', 'T1070.004: File Deletion', 'T1070.005: Network Share Connection Removal', 'T1071.001: Web Protocols', 'T1074.001: Local Data Staging', 'T1074.002: Remote Data Staging', 'T1078: Valid Accounts', 'T1087.001: Local Account', 'T1105: Ingress Tool Transfer', 'T1112: Modify Registry', 'T1119: Automated Collection', 'T1133: External Remote Services', 'T1140: Deobfuscate/Decode Files or Information', 'T1189: Drive-by Compromise', 'T1190: Exploit Public-Facing Application', 'T1195.002: Compromise Software Supply Chain', 'T1199: Trusted Relationship', 'T1203: Exploitation for Client Execution', 'T1204.002: Malicious File', 'T1210: Exploitation of Remote Services', 'T1505.003: Web Shell', 'T1543.003: Windows Service', 'T1547.001: Registry Run Keys / Startup Folder', 'T1548.002: Bypass User Account Control', 'T1555.005: Password Managers', 'T1560.002: Archive via Library', 'T1562.002: Disable Windows Event Logging', 'T1566.001: Spearphishing Attachment', 'T1567.002: Exfiltration to Cloud Storage', 'T1574.001: DLL Search Order Hijacking', 'T1574.002: DLL Side-Loading', 'T1583.001: Domains', 'T1588.002: Tool', 'T1588.003: Code Signing Certificates', 'T1608.001: Upload Malware', 'T1608.002: Upload Tool', 'T1608.004: Drive-by Target'",2,yes,"The answer provides a list of attack techniques used by the specified threat group, which is relevant and directly addresses the question. However, it lacks a brief explanation or context about the techniques.","{
  ""reasoning"": ""The answer provides a list of attack techniques used by the specified threat group, which is relevant and directly addresses the question. However, it lacks a brief explanation or context about the techniques."",
  ""verdict"": ""yes""
}"
