,question,answer
0,What is cybersecurity's primary purpose?,"Cybersecurity's primary purpose is to protect confidential data against cyberattacks such as accessing, changing, or destroying sensitive information."
1,Define cybersecurity,"The term ""cybersecurity"" refers to the collection of protection of physical and digital systems, software, and data from attackers."
2,List the basic elements of cybersecurity.,"Here are the basic elements of cybersecurity: application security, business continuity planning, end-user education, information security, network security, operational security"
3,What is cryptography?,"Cryptography is the cybersecurity domain that safeguards information from adversaries, thus ensuring that authorized users and recipients exclusively access the data."
4,Explain the difference between an IDS and an IPS.,"IDS stands for Intrusion Detection System and only detects intrusions; the administrator is responsible for preventing intrusions. An IPS, on the other hand, stands for Intrusion Prevention System. The IPS detects the intrusions and takes action to prevent intrusions."
5,"What is the CIA triad? Does it have anything to do with the spy organization, or what?","CIA, in this case, stands for Confidentiality, Integrity, and Availability. It's used as a model designed to guide information security policies."
6,Explain the three-way handshake.,The three-way handshake is a TCP/IP network method to connect the host with a client. It's called a three-way handshake because it uses a three-step method for packet exchange between the client and the server. The three steps are: The client sends a SYN(Synchronize) packet to the server to see if the server is up and has open ports. Hackers use port scanning to find information. The server sends the SYN-ACK packet to the client if it has available open ports. The client acknowledges the transmission and sends an ACK(Acknowledgment) packet back to the server.
7,"What's the difference between a risk, a threat, and a vulnerability?","The differences are: Risk. Risk is the likelihood a threat agent can successfully exploit a vulnerability. Threat. Threats are any hazard that can potentially steal or destroy data, disrupt operations, or cause general harm. Threat examples include malware, data breaches, phishing, or even unethical employees. Vulnerability. Vulnerabilities are flaws in hardware, software, staff, or procedures that threat actors may use to conduct their illegal activities."
8,Explain the difference between vulnerability assessment and penetration testing.,"The differences are: Vulnerability Assessment defines, detects, and prioritizes vulnerabilities in network infrastructures, applications, computer systems, or other systems and provides the information needed to correct the flaws. Penetration Testing, also called ethical hacking or pen-testing. It identifies vulnerabilities in applications, networks, systems, or other systems to prevent attackers from exploiting them."
9,List the most common kinds of cybersecurity attacks.,"The most common cybersecurity attacks include: Brute Force, Cross-Site Scripting (XSS), Denial-of-Service (DoS), Domain Name System Attack, Man-in-the-Middle Attacks, Malware, SQL Injection Attack, Phishing, Session Hijacking"
10,What is a Null session?,Null sessions occur when a user isn't authorized to use a username or a password. Null sessions provide security concerns for apps because they imply the person making the request is unknown.
11,What's phishing?,"Phishing involves a cybercriminal posing as a legitimate entity such as your cable company, eBay, PayPal, financial institutions, etc. The scammer sends an email, phone call, or text message to a target to convince them to click on a link, which, unbeknownst to the victim, takes them to a fake website where they're prompted to enter sensitive information like personal data, banking and credit card information, social security numbers, usernames, and passwords. Also, by clicking the link, malware sometimes gets installed on the target machines so hackers can remotely control them."
