question,answer,y_pred,raw_output
What is the parent technique of attack technique 'T1569.002: System Services: Service Execution'?,The parent technique of attack technique 'T1569.002: System Services: Service Execution' is 'T1569: System Services',2,"{""verdict"": ""yes""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1036: Masquerading'?,"The groups that used attack technique 'T1036: Masquerading' are: 'G0007: APT28', 'G0034: Sandworm Team', 'G0035: Dragonfly', 'G0045: menuPass', 'G0049: OilRig', 'G0050: APT32', 'G0060: BRONZE BUTLER', 'G0068: PLATINUM', 'G0112: Windshift', 'G0127: TA551', 'G0128: ZIRCONIUM', 'G0133: Nomadic Octopus', 'G0139: TeamTNT', 'G0140: LazyScripter', 'G1016: FIN13'",2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1012: Query Registry'?,"The groups that used attack technique 'T1012: Query Registry' are: 'G0010: Turla', 'G0027: Threat Group-3390', 'G0032: Lazarus Group', 'G0035: Dragonfly', 'G0038: Stealth Falcon', 'G0049: OilRig', 'G0050: APT32', 'G0087: APT39', 'G0094: Kimsuky', 'G0096: APT41', 'G0114: Chimera', 'G0117: Fox Kitten', 'G0128: ZIRCONIUM', 'G1017: Volt Typhoon'",2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1021.004: Remote Services: SSH'?,The parent technique of attack technique 'T1021.004: Remote Services: SSH' is 'T1021: Remote Services',2,"{""verdict"": ""yes""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What attack groups used software 'S1037: STARWHALE'?,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What software procedures use attack technique 'T1550.002: Pass the Hash'?,,1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1119: Automated Collection'?,"The groups that used attack technique 'T1119: Automated Collection' are: 'G0004: Ke3chang', 'G0006: APT1', 'G0007: APT28', 'G0027: Threat Group-3390', 'G0037: FIN6', 'G0040: Patchwork', 'G0045: menuPass', 'G0047: Gamaredon Group', 'G0049: OilRig', 'G0053: FIN5', 'G0081: Tropic Trooper', 'G0114: Chimera', 'G0121: Sidewinder', 'G0129: Mustang Panda', 'G0142: Confucius'",2,"{""verdict"": ""yes""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What software procedures use attack technique 'T1218.009: Regsvcs/Regasm'?,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1098.001: Account Manipulation: Additional Cloud Credentials'?,The parent technique of attack technique 'T1098.001: Account Manipulation: Additional Cloud Credentials' is 'T1098: Account Manipulation',2,"{""verdict"": ""yes""}"
,,1,"{""verdict"": ""uncertain""}"
What software procedures use attack technique 'T1204.001: Malicious Link'?,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1070.003: Clear Command History'?,"The groups that used attack technique 'T1070.003: Clear Command History' are: 'G0032: Lazarus Group', 'G0045: menuPass', 'G0059: Magic Hound', 'G0096: APT41', 'G0139: TeamTNT', 'G1023: APT5'",2,"{""verdict"": ""yes""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1593.001: Social Media'?,"The groups that used attack technique 'T1593.001: Social Media' are: 'G0094: Kimsuky', 'G1011: EXOTIC LILY'",1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1505.003: Server Software Component: Web Shell'?,The parent technique of attack technique 'T1505.003: Server Software Component: Web Shell' is 'T1505: Server Software Component',2,"{""verdict"": ""yes""}"
What attack groups used software 'S0560: TEARDROP'?,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What attack groups used software 'S0017: BISCUIT'?,,1,"{""verdict"": ""uncertain""}"
What attack groups used software 'S1075: KOPILUWAK'?,,1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1055.001: Dynamic-link Library Injection'?,The campaigns that used attack technique 'T1055.001: Dynamic-link Library Injection' were: 'C0015: C0015',0,"{""verdict"": ""no""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1027.010: Command Obfuscation'?,"The groups that used attack technique 'T1027.010: Command Obfuscation' are: 'G0010: Turla', 'G0034: Sandworm Team', 'G0037: FIN6', 'G0040: Patchwork', 'G0046: FIN7', 'G0047: Gamaredon Group', 'G0050: APT32', 'G0059: Magic Hound', 'G0061: FIN8', 'G0069: MuddyWater', 'G0073: APT19', 'G0077: Leafminer', 'G0080: Cobalt Group', 'G0091: Silence', 'G0092: TA505', 'G0102: Wizard Spider', 'G0114: Chimera', 'G0115: GOLD SOUTHFIELD', 'G0117: Fox Kitten', 'G0121: Sidewinder', 'G0127: TA551', 'G0140: LazyScripter', 'G0143: Aquatic Panda', 'G1001: HEXANE', 'G1003: Ember Bear'",2,"{""verdict"": ""yes""}"
What attack groups used software 'S0685: PowerPunch'?,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1021.006: Remote Services: Windows Remote Management'?,The parent technique of attack technique 'T1021.006: Remote Services: Windows Remote Management' is 'T1021: Remote Services',2,"{""verdict"": ""yes""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1583.002: Acquire Infrastructure: DNS Server'?,The parent technique of attack technique 'T1583.002: Acquire Infrastructure: DNS Server' is 'T1583: Acquire Infrastructure',2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1213.003: Code Repositories'?,"The groups that used attack technique 'T1213.003: Code Repositories' are: 'G0096: APT41', 'G1004: LAPSUS$', 'G1015: Scattered Spider'",2,"{""verdict"": ""yes""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1556.007: Modify Authentication Process: Hybrid Identity'?,The parent technique of attack technique 'T1556.007: Modify Authentication Process: Hybrid Identity' is 'T1556: Modify Authentication Process',2,"{""verdict"": ""yes""}"
What attack groups used software 'S0150: POSHSPY'?,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1529: System Shutdown/Reboot'?,"The groups that used attack technique 'T1529: System Shutdown/Reboot' are: 'G0032: Lazarus Group', 'G0067: APT37', 'G0082: APT38'",1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1574.012: COR_PROFILER'?,The groups that used attack technique 'T1574.012: COR_PROFILER' are: 'G0108: Blue Mockingbird',1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1552.002: Credentials in Registry'?,The groups that used attack technique 'T1552.002: Credentials in Registry' are: 'G0050: APT32',1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1036.005: Match Legitimate Name or Location'?,"The groups that used attack technique 'T1036.005: Match Legitimate Name or Location' are: 'G0004: Ke3chang', 'G0006: APT1', 'G0007: APT28', 'G0008: Carbanak', 'G0012: Darkhotel', 'G0016: APT29', 'G0018: admin@338', 'G0019: Naikon', 'G0032: Lazarus Group', 'G0033: Poseidon Group', 'G0034: Sandworm Team', 'G0040: Patchwork', 'G0045: menuPass', 'G0046: FIN7', 'G0047: Gamaredon Group', 'G0050: APT32', 'G0054: Sowbug', 'G0056: PROMETHIUM', 'G0059: Magic Hound', 'G0060: BRONZE BUTLER', 'G0069: MuddyWater', 'G0081: Tropic Trooper', 'G0087: APT39', 'G0090: WIRTE', 'G0091: Silence', 'G0094: Kimsuky', 'G0095: Machete', 'G0096: APT41', 'G0106: Rocke', 'G0107: Whitefly', 'G0108: Blue Mockingbird', 'G0114: Chimera', 'G0117: Fox Kitten', 'G0119: Indrik Spider', 'G0121: Sidewinder', 'G0129: Mustang Panda', 'G0134: Transparent Tribe', 'G0135: BackdoorDiplomacy', 'G0137: Ferocious Kitten', 'G0139: TeamTNT', 'G1006: Earth Lusca', 'G1007: Aoqin Dragon', 'G1008: SideCopy', 'G1014: LuminousMoth', 'G1016: FIN13', 'G1017: Volt Typhoon', 'G1018: TA2541', 'G1020: Mustard Tempest', 'G1022: ToddyCat', 'G1023: APT5'",2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1589.003: Gather Victim Identity Information: Employee Names'?,The parent technique of attack technique 'T1589.003: Gather Victim Identity Information: Employee Names' is 'T1589: Gather Victim Identity Information',2,"{""verdict"": ""yes""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1070.004: File Deletion'?,"The groups that used attack technique 'T1070.004: File Deletion' are: 'G0007: APT28', 'G0016: APT29', 'G0022: APT3', 'G0026: APT18', 'G0027: Threat Group-3390', 'G0032: Lazarus Group', 'G0034: Sandworm Team', 'G0035: Dragonfly', 'G0037: FIN6', 'G0040: Patchwork', 'G0043: Group5', 'G0045: menuPass', 'G0047: Gamaredon Group', 'G0049: OilRig', 'G0050: APT32', 'G0051: FIN10', 'G0053: FIN5', 'G0059: Magic Hound', 'G0060: BRONZE BUTLER', 'G0061: FIN8', 'G0080: Cobalt Group', 'G0081: Tropic Trooper', 'G0082: APT38', 'G0087: APT39', 'G0089: The White Company', 'G0091: Silence', 'G0094: Kimsuky', 'G0096: APT41', 'G0102: Wizard Spider', 'G0106: Rocke', 'G0114: Chimera', 'G0120: Evilnum', 'G0129: Mustang Panda', 'G0139: TeamTNT', 'G0143: Aquatic Panda', 'G1013: Metador', 'G1017: Volt Typhoon', 'G1023: APT5'",2,"{""verdict"": ""yes""}"
,,1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1557.001: LLMNR/NBT-NS Poisoning and SMB Relay'?,"The groups that used attack technique 'T1557.001: LLMNR/NBT-NS Poisoning and SMB Relay' are: 'G0032: Lazarus Group', 'G0102: Wizard Spider'",1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1012: Query Registry'?,The campaigns that used attack technique 'T1012: Query Registry' were: 'C0014: Operation Wocao',1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
,,1,"{""verdict"": ""uncertain""}"
What software are used by attack group 'G0075: Rancor'?,"The software used by attack group 'G0075: Rancor' are: 'S0075: Reg', 'S0160: certutil', 'S0254: PLAINTEE', 'S0255: DDKONG'",1,"{""verdict"": ""uncertain""}"
